city,state_id,state_name,latitude,longitude,population
New York,NY,New York,40.6943,-73.9249,18713220
Los Angeles,CA,California,34.1139,-118.4068,12750807
Chicago,IL,Illinois,41.8373,-87.6862,8604203
Miami,FL,Florida,25.7839,-80.2102,6445545
Dallas,TX,Texas,32.7936,-96.7662,5743938
Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5649300
Houston,TX,Texas,29.7863,-95.3889,5464251
Atlanta,GA,Georgia,33.7627,-84.4224,5449398
Washington,DC,District of Columbia,38.9047,-77.0163,5379184
Boston,MA,Massachusetts,42.3188,-71.0846,4688346
Phoenix,AZ,Arizona,33.5722,-112.0891,4219697
Seattle,WA,Washington,47.6211,-122.3244,3789215
San Francisco,CA,California,37.7562,-122.443,3592294
Detroit,MI,Michigan,42.3834,-83.1024,3506126
San Diego,CA,California,32.8312,-117.1225,3220118
Minneapolis,MN,Minnesota,44.9635,-93.2678,2977172
Tampa,FL,Florida,27.9942,-82.4451,2908063
Denver,CO,Colorado,39.7621,-104.8759,2876625
Brooklyn,NY,New York,40.6501,-73.9496,2559903
Queens,NY,New York,40.7498,-73.7976,2230722
Riverside,CA,California,33.9381,-117.3948,2107852
Baltimore,MD,Maryland,39.3051,-76.6144,2106068
Las Vegas,NV,Nevada,36.2333,-115.2654,2104198
Portland,OR,Oregon,45.5372,-122.65,2074775
San Antonio,TX,Texas,29.4658,-98.5253,2049293
St. Louis,MO,Missouri,38.6358,-90.2451,2024074
Sacramento,CA,California,38.5667,-121.4683,1898019
Orlando,FL,Florida,28.4772,-81.3369,1822394
San Jose,CA,California,37.3019,-121.8486,1798103
Cleveland,OH,Ohio,41.4767,-81.6804,1710093
Pittsburgh,PA,Pennsylvania,40.4396,-79.9762,1703266
Austin,TX,Texas,30.3004,-97.7522,1687311
Cincinnati,OH,Ohio,39.1413,-84.5061,1662691
Kansas City,MO,Missouri,39.1239,-94.5541,1636715
Manhattan,NY,New York,40.7834,-73.9662,1628706
Indianapolis,IN,Indiana,39.7771,-86.1458,1588961
Columbus,OH,Ohio,39.9862,-82.985,1562009
Charlotte,NC,North Carolina,35.208,-80.8304,1512923
Virginia Beach,VA,Virginia,36.7335,-76.0435,1478868
Bronx,NY,New York,40.8501,-73.8662,1418207
Milwaukee,WI,Wisconsin,43.0642,-87.9673,1365787
Providence,RI,Rhode Island,41.823,-71.4187,1203230
Jacksonville,FL,Florida,30.3322,-81.6749,1181496
Salt Lake City,UT,Utah,40.7777,-111.9306,1098526
Nashville,TN,Tennessee,36.1715,-86.7843,1081903
Richmond,VA,Virginia,37.5295,-77.4756,1075798
Memphis,TN,Tennessee,35.1046,-89.9773,1066967
Raleigh,NC,North Carolina,35.8325,-78.6435,1038738
New Orleans,LA,Louisiana,30.0687,-89.9288,1020886
Louisville,KY,Kentucky,38.1663,-85.6485,1005654
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,972943
Bridgeport,CT,Connecticut,41.1918,-73.1953,924449
Buffalo,NY,New York,42.9016,-78.8487,914341
Fort Worth,TX,Texas,32.7811,-97.3473,909585
Hartford,CT,Connecticut,41.7661,-72.6834,905152
Tucson,AZ,Arizona,32.1545,-110.8782,888486
Omaha,NE,Nebraska,41.2627,-96.0522,847819
El Paso,TX,Texas,31.8479,-106.4309,843386
Honolulu,HI,Hawaii,21.3294,-157.846,820987
McAllen,TX,Texas,26.2273,-98.2471,804114
Albuquerque,NM,New Mexico,35.1053,-106.6464,761195
Birmingham,AL,Alabama,33.5277,-86.7987,739573
Sarasota,FL,Florida,27.3386,-82.5431,722243
Dayton,OH,Ohio,39.7797,-84.1998,718353
Rochester,NY,New York,43.168,-77.6162,703952
Fresno,CA,California,36.7831,-119.7941,703498
Allentown,PA,Pennsylvania,40.5961,-75.4756,683794
Tulsa,OK,Oklahoma,36.1284,-95.9042,671033
Cape Coral,FL,Florida,26.6446,-81.9956,668382
Concord,CA,California,37.9722,-122.0016,652308
Colorado Springs,CO,Colorado,38.8674,-104.7606,642413
Charleston,SC,South Carolina,32.8153,-79.9628,628377
Springfield,MA,Massachusetts,42.1155,-72.5395,623401
Grand Rapids,MI,Michigan,42.962,-85.6562,609314
Mission Viejo,CA,California,33.6095,-117.655,590249
Albany,NY,New York,42.6664,-73.7987,586383
Knoxville,TN,Tennessee,35.9692,-83.9496,586048
Bakersfield,CA,California,35.3529,-119.0359,579295
Ogden,UT,Utah,41.2278,-111.9682,578523
Baton Rouge,LA,Louisiana,30.4418,-91.131,570308
Akron,OH,Ohio,41.0798,-81.5219,565208
New Haven,CT,Connecticut,41.3112,-72.9246,564830
Columbia,SC,South Carolina,34.0376,-80.9037,560041
Mesa,AZ,Arizona,33.4017,-111.718,518012
Palm Bay,FL,Florida,27.955,-80.6627,507002
Provo,UT,Utah,40.2457,-111.6457,500617
Worcester,MA,Massachusetts,42.2705,-71.8079,498328
Murrieta,CA,California,33.572,-117.1909,496046
Greenville,SC,South Carolina,34.8353,-82.3647,484465
Wichita,KS,Kansas,37.6896,-97.3442,482249
Toledo,OH,Ohio,41.6639,-83.5822,482111
Staten Island,NY,New York,40.5834,-74.1496,476143
Des Moines,IA,Iowa,41.5725,-93.6105,473957
Long Beach,CA,California,33.7981,-118.1675,462628
Port St. Lucie,FL,Florida,27.2796,-80.3883,461152
Denton,TX,Texas,33.2176,-97.1419,457177
Madison,WI,Wisconsin,43.0826,-89.3931,447245
Reno,NV,Nevada,39.5497,-119.8483,445020
Harrisburg,PA,Pennsylvania,40.2752,-76.8843,442289
Little Rock,AR,Arkansas,34.7256,-92.3576,439815
Oakland,CA,California,37.7903,-122.2165,433031
Durham,NC,North Carolina,35.9794,-78.9031,424700
Winston-Salem,NC,North Carolina,36.1029,-80.2611,422269
Bonita Springs,FL,Florida,26.3559,-81.7861,421291
Indio,CA,California,33.7346,-116.2346,417059
Palm Coast,FL,Florida,29.5392,-81.246,417007
Chattanooga,TN,Tennessee,35.0657,-85.2488,415501
Spokane,WA,Washington,47.6671,-117.433,412275
Syracuse,NY,New York,43.0409,-76.1438,404223
Lancaster,PA,Pennsylvania,40.0421,-76.3012,401524
Arlington,TX,Texas,32.6998,-97.125,398854
Stockton,CA,California,37.9765,-121.3109,397264
Poughkeepsie,NY,New York,41.6949,-73.921,394760
Augusta,GA,Georgia,33.3645,-82.0708,390809
Boise,ID,Idaho,43.6007,-116.2312,389280
Oxnard,CA,California,34.1963,-119.1815,387647
Scranton,PA,Pennsylvania,41.4044,-75.6649,384250
Modesto,CA,California,37.6374,-121.0028,383134
Kissimmee,FL,Florida,28.3042,-81.4164,382720
Aurora,CO,Colorado,39.7087,-104.7273,379289
Youngstown,OH,Ohio,41.0993,-80.6463,378732
Fayetteville,AR,Arkansas,36.0713,-94.166,351246
Anaheim,CA,California,33.839,-117.8572,350365
Pensacola,FL,Florida,30.4427,-87.1886,346921
Victorville,CA,California,34.5277,-117.3536,346789
Lancaster,CA,California,34.6935,-118.1753,343304
Greensboro,NC,North Carolina,36.0956,-79.8269,343090
Corpus Christi,TX,Texas,27.726,-97.3755,342464
Fort Wayne,IN,Indiana,41.0886,-85.1437,334122
Santa Ana,CA,California,33.7366,-117.8819,332318
Flint,MI,Michigan,43.0235,-83.6922,332190
Fayetteville,NC,North Carolina,35.0846,-78.9776,327435
Jackson,MS,Mississippi,32.3163,-90.2124,325350
Santa Rosa,CA,California,38.4458,-122.7067,324634
Lansing,MI,Michigan,42.7142,-84.5601,324286
San Juan,PR,Puerto Rico,18.4037,-66.0636,323279
Lexington,KY,Kentucky,38.0423,-84.4587,323152
Ann Arbor,MI,Michigan,42.2755,-83.7312,322267
Henderson,NV,Nevada,36.0133,-115.038,320189
Huntsville,AL,Alabama,34.6988,-86.6412,319249
Mobile,AL,Alabama,30.6783,-88.1162,315502
Fort Collins,CO,Colorado,40.5478,-105.0656,312666
Asheville,NC,North Carolina,35.5704,-82.5536,312507
Santa Clarita,CA,California,34.4175,-118.4964,312446
St. Paul,MN,Minnesota,44.9477,-93.104,308096
Antioch,CA,California,37.9789,-121.7958,302419
Lakeland,FL,Florida,28.0556,-81.9545,302284
Trenton,NJ,New Jersey,40.2236,-74.7641,290716
Lincoln,NE,Nebraska,40.809,-96.6788,289490
Springfield,MO,Missouri,37.1943,-93.2916,288090
Anchorage,AK,Alaska,61.1508,-149.1091,288000
Plano,TX,Texas,33.0502,-96.7487,287677
Irvine,CA,California,33.6772,-117.7738,287401
Davenport,IA,Iowa,41.5563,-90.6052,285362
Rockford,IL,Illinois,42.2597,-89.0641,282762
Newark,NJ,New Jersey,40.7245,-74.1725,282011
South Bend,IN,Indiana,41.6767,-86.2696,280498
Shreveport,LA,Louisiana,32.4656,-93.7956,280062
Round Lake Beach,IL,Illinois,42.379,-88.0811,279381
Savannah,GA,Georgia,32.0281,-81.1784,276295
Myrtle Beach,SC,South Carolina,33.7096,-78.8843,275579
Chula Vista,CA,California,32.6281,-117.0145,274492
Eugene,OR,Oregon,44.0563,-123.1173,273439
Canton,OH,Ohio,40.8075,-81.3677,269418
Lubbock,TX,Texas,33.5659,-101.8878,267648
Reading,PA,Pennsylvania,40.34,-75.9267,267155
Winter Haven,FL,Florida,28.0118,-81.7017,267069
Salem,OR,Oregon,44.9231,-123.0246,266804
St. Petersburg,FL,Florida,27.7931,-82.6652,265351
Lafayette,LA,Louisiana,30.2084,-92.0323,264357
Laredo,TX,Texas,27.5629,-99.4875,262491
Jersey City,NJ,New Jersey,40.7161,-74.0682,262075
Concord,NC,North Carolina,35.3933,-80.6366,261801
Columbus,GA,Georgia,32.51,-84.8771,261445
Chandler,AZ,Arizona,33.2826,-111.8516,261165
McKinney,TX,Texas,33.2015,-96.6669,258277
Scottsdale,AZ,Arizona,33.6872,-111.8651,258069
Killeen,TX,Texas,31.0754,-97.7296,258009
Tallahassee,FL,Florida,30.4551,-84.2526,257601
Peoria,IL,Illinois,40.752,-89.6153,256286
Wilmington,NC,North Carolina,34.21,-77.8866,255616
Montgomery,AL,Alabama,32.3473,-86.2666,254634
Gilbert,AZ,Arizona,33.3101,-111.7463,254114
Glendale,AZ,Arizona,33.5791,-112.2311,252381
North Las Vegas,NV,Nevada,36.288,-115.0901,251974
Chesapeake,VA,Virginia,36.6778,-76.3024,244835
Barnstable,MA,Massachusetts,41.6722,-70.3599,242847
Norfolk,VA,Virginia,36.8945,-76.259,242742
Fremont,CA,California,37.5265,-121.9852,241110
Kennewick,WA,Washington,46.1978,-119.1732,240735
Garland,TX,Texas,32.91,-96.6305,239928
Irving,TX,Texas,32.8584,-96.9702,239798
Visalia,CA,California,36.3276,-119.3269,237386
Atlantic City,NJ,New Jersey,39.3797,-74.4527,237054
Paradise,NV,Nevada,36.0807,-115.1369,235087
Nashua,NH,New Hampshire,42.7491,-71.491,233917
Arlington,VA,Virginia,38.8786,-77.1011,233464
Hialeah,FL,Florida,25.8696,-80.3046,233339
York,PA,Pennsylvania,39.9651,-76.7315,233184
Evansville,IN,Indiana,37.9881,-87.5341,230427
Avondale,AZ,Arizona,33.3858,-112.3236,227289
Brownsville,TX,Texas,25.998,-97.4565,227239
Gulfport,MS,Mississippi,30.4271,-89.0703,220987
Appleton,WI,Wisconsin,44.2779,-88.3891,220570
Bremerton,WA,Washington,47.5436,-122.7122,218400
Hickory,NC,North Carolina,35.7425,-81.323,218323
Tacoma,WA,Washington,47.2431,-122.4531,217827
San Bernardino,CA,California,34.1417,-117.2946,215784
College Station,TX,Texas,30.5852,-96.296,215243
Kalamazoo,MI,Michigan,42.2749,-85.5882,215193
Thousand Oaks,CA,California,34.1914,-118.8755,215029
Roanoke,VA,Virginia,37.2785,-79.958,214674
Fontana,CA,California,34.0968,-117.4599,214547
Moreno Valley,CA,California,33.9244,-117.2045,213055
North Port,FL,Florida,27.0577,-82.1975,209070
Fargo,ND,North Dakota,46.8652,-96.8292,208675
Green Bay,WI,Wisconsin,44.515,-87.9896,207557
Spring Valley,NV,Nevada,36.0987,-115.2619,207127
Amarillo,TX,Texas,35.1988,-101.8311,205603
Portland,ME,Maine,43.6773,-70.2715,203969
Santa Barbara,CA,California,34.4285,-119.7202,202401
Gainesville,FL,Florida,29.6804,-82.3458,202335
Olympia,WA,Washington,47.0417,-122.8959,200915
Frisco,TX,Texas,33.1555,-96.8215,200490
Yonkers,NY,New York,40.9466,-73.8674,200370
Norwich,CT,Connecticut,41.5495,-72.0882,200289
Glendale,CA,California,34.1818,-118.2468,199303
Huntington Beach,CA,California,33.696,-118.0025,199223
Deltona,FL,Florida,28.905,-81.2137,198361
Aurora,IL,Illinois,41.7637,-88.2901,197757
Tempe,AZ,Arizona,33.3881,-111.9318,195805
Overland Park,KS,Kansas,38.887,-94.687,195494
Grand Prairie,TX,Texas,32.6872,-97.0209,194543
Sunrise Manor,NV,Nevada,36.1785,-115.049,193781
Waco,TX,Texas,31.5598,-97.1881,192315
Salinas,CA,California,36.6884,-121.6317,190972
Waterbury,CT,Connecticut,41.5583,-73.0361,189614
Clarksville,TN,Tennessee,36.5695,-87.342,188746
Cedar Rapids,IA,Iowa,41.9665,-91.6782,188038
Sioux Falls,SD,South Dakota,43.5397,-96.732,187239
Huntington,WV,West Virginia,38.4109,-82.4344,186034
Ontario,CA,California,34.0393,-117.6064,185010
Hagerstown,MD,Maryland,39.6401,-77.7217,184755
Erie,PA,Pennsylvania,42.1168,-80.0733,184484
Vancouver,WA,Washington,45.6366,-122.5967,184463
Nampa,ID,Idaho,43.5845,-116.5631,184428
Spartanburg,SC,South Carolina,34.9437,-81.9257,182701
Gastonia,NC,North Carolina,35.2494,-81.1853,182581
Fort Lauderdale,FL,Florida,26.1412,-80.1464,182437
Lorain,OH,Ohio,41.4409,-82.184,180279
Murfreesboro,TN,Tennessee,35.8492,-86.4119,179951
High Point,NC,North Carolina,35.9907,-79.9938,179913
Newport News,VA,Virginia,37.1051,-76.5185,179225
Rancho Cucamonga,CA,California,34.1248,-117.5666,177603
Hemet,CA,California,33.7341,-116.9969,177253
Santa Cruz,CA,California,36.9789,-122.0346,176428
Danbury,CT,Connecticut,41.4016,-73.471,176030
Peoria,AZ,Arizona,33.7844,-112.2989,175961
Oceanside,CA,California,33.2247,-117.3083,175742
Elk Grove,CA,California,38.416,-121.3842,174775
Pembroke Pines,FL,Florida,26.0128,-80.3382,173591
Vallejo,CA,California,38.1133,-122.2358,173256
Garden Grove,CA,California,33.7787,-117.9601,171644
Enterprise,NV,Nevada,36.0164,-115.2208,171108
Medford,OR,Oregon,42.3372,-122.8537,170876
Cary,NC,North Carolina,35.782,-78.8191,170282
Marysville,WA,Washington,48.0809,-122.1561,170009
Corona,CA,California,33.8616,-117.5649,169868
Ocala,FL,Florida,29.178,-82.1511,169383
Fredericksburg,VA,Virginia,38.2992,-77.4872,168909
Gainesville,GA,Georgia,34.2903,-83.8301,167371
Manchester,NH,New Hampshire,42.9848,-71.4447,162877
Bayamón,PR,Puerto Rico,18.3793,-66.1635,161034
Champaign,IL,Illinois,40.1144,-88.2735,159443
Alexandria,VA,Virginia,38.8185,-77.0861,159428
Hayward,CA,California,37.6328,-122.0772,159203
Springfield,IL,Illinois,39.771,-89.6538,158509
Lakewood,CO,Colorado,39.6977,-105.1168,157935
Lafayette,IN,Indiana,40.399,-86.8594,157820
Frederick,MD,Maryland,39.4336,-77.4141,156787
Lake Charles,LA,Louisiana,30.2012,-93.2122,156181
Odessa,TX,Texas,31.8831,-102.3406,155998
Tuscaloosa,AL,Alabama,33.2348,-87.5267,155499
Warner Robins,GA,Georgia,32.597,-83.6529,155140
Palmdale,CA,California,34.5944,-118.1057,155079
Hollywood,FL,Florida,26.0294,-80.1679,154817
Midland,TX,Texas,32.0249,-102.1137,154793
Leesburg,FL,Florida,28.7657,-81.8996,154574
Port Arthur,TX,Texas,29.8554,-93.9264,154468
Muskegon,MI,Michigan,43.2281,-86.2563,153565
Macon,GA,Georgia,32.8065,-83.6974,153159
Kansas City,KS,Kansas,39.1234,-94.7443,152960
Sunnyvale,CA,California,37.3836,-122.0256,152703
Pomona,CA,California,34.0585,-117.7626,151691
Escondido,CA,California,33.1347,-117.0722,151625
Pasadena,TX,Texas,29.6583,-95.1499,151227
New Bedford,MA,Massachusetts,41.6697,-70.9428,149910
Fairfield,CA,California,38.2592,-122.0324,148683
Naperville,IL,Illinois,41.7483,-88.1657,148449
Bellevue,WA,Washington,47.5951,-122.1535,148164
Binghamton,NY,New York,42.1014,-75.9093,148145
Elkhart,IN,Indiana,41.6916,-85.9628,147567
Topeka,KS,Kansas,39.0346,-95.6955,147458
Joliet,IL,Illinois,41.5189,-88.1499,147344
Beaumont,TX,Texas,30.0849,-94.1451,146091
Paterson,NJ,New Jersey,40.9147,-74.1624,145233
Merced,CA,California,37.3057,-120.4778,145149
Pueblo,CO,Colorado,38.2705,-104.6112,143932
Tyler,TX,Texas,32.3184,-95.3062,143796
Torrance,CA,California,33.8346,-118.3417,143592
Yuma,AZ,Arizona,32.5992,-114.5488,142847
Metairie,LA,Louisiana,29.9977,-90.178,142135
Surprise,AZ,Arizona,33.68,-112.4524,141664
Columbia,MO,Missouri,38.9478,-92.3256,141645
Athens,GA,Georgia,33.9508,-83.3689,141532
Roseville,CA,California,38.7703,-121.3196,141500
Thornton,CO,Colorado,39.9197,-104.9438,141464
Miramar,FL,Florida,25.9773,-80.3351,141191
Pasadena,CA,California,34.1597,-118.139,141029
Mesquite,TX,Texas,32.7623,-96.5889,140937
Olathe,KS,Kansas,38.8832,-94.8198,140545
Santa Maria,CA,California,34.9334,-120.4432,140545
Houma,LA,Louisiana,29.5799,-90.7058,140469
Carrollton,TX,Texas,32.989,-96.8999,139248
Grand Junction,CO,Colorado,39.0876,-108.5673,139143
Charleston,WV,West Virginia,38.3484,-81.6323,138706
Orange,CA,California,33.8038,-117.8218,138669
Fullerton,CA,California,33.8841,-117.9279,138632
Greeley,CO,Colorado,40.4151,-104.7706,137810
Carolina,PR,Puerto Rico,18.4054,-65.9792,136771
Las Cruces,NM,New Mexico,32.3265,-106.7892,136254
Panama City,FL,Florida,30.1995,-85.6004,136133
Harlingen,TX,Texas,26.1917,-97.6976,136037
West Valley City,UT,Utah,40.6889,-112.0115,135248
Hampton,VA,Virginia,37.0551,-76.363,134510
Warren,MI,Michigan,42.4934,-83.027,133943
Mauldin,SC,South Carolina,34.7849,-82.3005,133872
Bloomington,IL,Illinois,40.4757,-88.9703,133846
Coral Springs,FL,Florida,26.2702,-80.2591,133759
Round Rock,TX,Texas,30.5254,-97.666,133372
Yakima,WA,Washington,46.5923,-120.5496,133191
Sterling Heights,MI,Michigan,42.5809,-83.0305,132438
Kent,WA,Washington,47.3887,-122.2129,132319
Burlington,NC,North Carolina,36.0758,-79.4686,131043
Bellingham,WA,Washington,48.7543,-122.4687,130641
Santa Clara,CA,California,37.3645,-121.968,130365
Racine,WI,Wisconsin,42.7274,-87.8135,130142
Greenville,NC,North Carolina,35.5956,-77.3768,130118
Stamford,CT,Connecticut,41.1035,-73.5583,129638
Elizabeth,NJ,New Jersey,40.6657,-74.1912,129216
Johnson City,TN,Tennessee,36.3406,-82.3803,127571
Lynchburg,VA,Virginia,37.4003,-79.1909,126814
Simi Valley,CA,California,34.2663,-118.749,126589
Fort Smith,AR,Arkansas,35.3493,-94.3695,125354
Kenosha,WI,Wisconsin,42.5864,-87.8765,124972
Norman,OK,Oklahoma,35.2335,-97.3471,124880
South Lyon,MI,Michigan,42.4614,-83.6526,124694
Boulder,CO,Colorado,40.0249,-105.2523,124345
Abilene,TX,Texas,32.4543,-99.7384,123420
Lehigh Acres,FL,Florida,26.612,-81.6388,123378
Pearland,TX,Texas,29.5585,-95.3215,122460
Berkeley,CA,California,37.8723,-122.276,121363
Richardson,TX,Texas,32.9717,-96.7093,121323
Redding,CA,California,40.5698,-122.365,121313
Arvada,CO,Colorado,39.8321,-105.1511,121272
East Los Angeles,CA,California,34.0326,-118.1691,121187
St. George,UT,Utah,37.077,-113.577,120899
Billings,MT,Montana,45.7891,-108.5524,120728
Yuba City,CA,California,39.1357,-121.6381,120456
Rochester,MN,Minnesota,44.0151,-92.4778,119942
Leominster,MA,Massachusetts,42.5209,-71.7717,119690
Kingsport,TN,Tennessee,36.5224,-82.5453,119666
Duluth,MN,Minnesota,46.7756,-92.1392,119476
Rock Hill,SC,South Carolina,34.9416,-81.0244,119105
Gilroy,CA,California,37.0047,-121.5855,118993
Cambridge,MA,Massachusetts,42.3759,-71.1185,118927
Sugar Land,TX,Texas,29.5935,-95.6357,118488
Texas City,TX,Texas,29.4128,-94.9658,118169
Iowa City,IA,Iowa,41.6559,-91.5303,118041
Saginaw,MI,Michigan,43.4199,-83.9501,117958
Chico,CA,California,39.7575,-121.8152,117668
Dover,DE,Delaware,39.161,-75.5203,117282
Clearwater,FL,Florida,27.9789,-82.7622,116946
Coeur d'Alene,ID,Idaho,47.7041,-116.7935,116834
Seaside,CA,California,36.6224,-121.8191,116720
Independence,MO,Missouri,39.0871,-94.3501,116672
West Jordan,UT,Utah,40.6024,-112.0008,116480
Brandon,FL,Florida,27.9367,-82.3,115911
Bloomington,IN,Indiana,39.1637,-86.5257,115884
El Monte,CA,California,34.0739,-118.0291,115487
North Charleston,SC,South Carolina,32.9066,-80.0722,115382
Carlsbad,CA,California,33.1247,-117.2837,115382
St. Cloud,MN,Minnesota,45.5339,-94.1718,115028
Temecula,CA,California,33.4928,-117.1315,114761
Clovis,CA,California,36.8278,-119.6831,114584
Meridian,ID,Idaho,43.6112,-116.3968,114161
The Woodlands,TX,Texas,30.1738,-95.5134,113819
Ponce,PR,Puerto Rico,18.012,-66.6198,113401
Westminster,CO,Colorado,39.8837,-105.0624,113166
Costa Mesa,CA,California,33.6667,-117.9135,113003
Monroe,LA,Louisiana,32.5183,-92.0774,112891
Utica,NY,New York,43.0961,-75.226,112650
Pompano Beach,FL,Florida,26.2428,-80.1312,112118
West Palm Beach,FL,Florida,26.7468,-80.1316,111955
Waterloo,IA,Iowa,42.492,-92.3522,111631
Everett,WA,Washington,47.9525,-122.1669,111475
El Centro,CA,California,32.7867,-115.5586,111425
Santa Fe,NM,New Mexico,35.6619,-105.9819,111269
Downey,CA,California,33.9379,-118.1312,111126
Spring Hill,FL,Florida,28.4797,-82.53,111076
Lowell,MA,Massachusetts,42.6389,-71.3217,110997
Centennial,CO,Colorado,39.5926,-104.8674,110937
Elgin,IL,Illinois,42.0385,-88.3229,110849
Richmond,CA,California,37.9477,-122.339,110567
Broken Arrow,OK,Oklahoma,36.0365,-95.7809,110198
Miami Gardens,FL,Florida,25.9433,-80.2426,110001
Bend,OR,Oregon,44.0562,-121.3087,109802
Burlington,VT,Vermont,44.4877,-73.2314,109763
Jurupa Valley,CA,California,34.001,-117.4705,109527
Sandy Springs,GA,Georgia,33.9366,-84.3703,109452
Gresham,OR,Oregon,45.5023,-122.4413,109381
Lewisville,TX,Texas,33.0452,-96.9823,109212
Hillsboro,OR,Oregon,45.5272,-122.9361,109128
San Buenaventura,CA,California,34.2741,-119.2314,109106
Jacksonville,NC,North Carolina,34.7288,-77.3941,108856
Pottstown,PA,Pennsylvania,40.2507,-75.6444,108758
Inglewood,CA,California,33.9566,-118.3444,108151
League City,TX,Texas,29.4873,-95.1087,107536
Eau Claire,WI,Wisconsin,44.8199,-91.4949,107404
Turlock,CA,California,37.5053,-120.8588,107317
Temple,TX,Texas,31.1076,-97.3894,107258
Sioux City,IA,Iowa,42.4959,-96.3901,106455
Salisbury,MD,Maryland,38.3756,-75.5867,106447
Davie,FL,Florida,26.0789,-80.287,106306
Daly City,CA,California,37.6862,-122.4685,106280
Highlands Ranch,CO,Colorado,39.5419,-104.9708,105631
Allen,TX,Texas,33.1088,-96.6735,105623
West Covina,CA,California,34.0555,-117.9112,105101
Sparks,NV,Nevada,39.5729,-119.7157,105006
Wichita Falls,TX,Texas,33.9072,-98.5291,104683
San Mateo,CA,California,37.5521,-122.3122,104430
Columbia,MD,Maryland,39.2004,-76.859,103991
Norwalk,CA,California,33.9069,-118.0829,103949
Rialto,CA,California,34.1174,-117.3894,103526
Manteca,CA,California,37.7927,-121.2264,103420
Arden-Arcade,CA,California,38.6034,-121.381,102864
El Cajon,CA,California,32.8017,-116.9605,102708
Burbank,CA,California,34.1879,-118.3235,102511
Longmont,CO,Colorado,40.1686,-105.1005,102474
Renton,WA,Washington,47.4784,-122.1919,101751
Vista,CA,California,33.1896,-117.2386,101638
Logan,UT,Utah,41.74,-111.8419,101616
Prescott Valley,AZ,Arizona,34.5983,-112.3176,101539
Vacaville,CA,California,38.359,-121.968,101444
Edinburg,TX,Texas,26.3197,-98.1596,101170
Carmel,IN,Indiana,39.965,-86.146,101068
Spokane Valley,WA,Washington,47.6626,-117.2346,101060
San Angelo,TX,Texas,31.4424,-100.4506,101004
La Crosse,WI,Wisconsin,43.824,-91.2268,100693
Idaho Falls,ID,Idaho,43.4872,-112.0362,100442
Holland,MI,Michigan,42.7677,-86.0985,100432
Charlottesville,VA,Virginia,38.0375,-78.4855,100416
Longview,TX,Texas,32.5193,-94.7621,100330
Tracy,CA,California,37.7269,-121.4522,100049
Boca Raton,FL,Florida,26.3752,-80.108,99805
Lafayette,CO,Colorado,39.9949,-105.0997,99645
Lee's Summit,MO,Missouri,38.9172,-94.3816,99357
Rio Rancho,NM,New Mexico,35.2872,-106.6981,99178
South Fulton,GA,Georgia,33.6269,-84.5802,99155
Beaverton,OR,Oregon,45.4779,-122.8168,99037
Lawrence,KS,Kansas,38.9597,-95.2641,98648
Bismarck,ND,North Dakota,46.8144,-100.7694,98345
Orem,UT,Utah,40.2983,-111.6992,97828
Middletown,OH,Ohio,39.5032,-84.366,97730
San Tan Valley,AZ,Arizona,33.1879,-111.5472,96692
San Marcos,CA,California,33.135,-117.1744,96664
Sandy,UT,Utah,40.571,-111.8505,96380
Federal Way,WA,Washington,47.3091,-122.3358,96289
Mandeville,LA,Louisiana,30.3751,-90.0904,95968
Hesperia,CA,California,34.3975,-117.3147,95750
Brockton,MA,Massachusetts,42.0821,-71.0242,95708
Compton,CA,California,33.893,-118.2275,95605
Riverview,FL,Florida,27.8227,-82.3023,95338
Fishers,IN,Indiana,39.9589,-85.9661,95310
Sunrise,FL,Florida,26.1547,-80.2997,95166
Bowling Green,KY,Kentucky,36.9719,-86.4373,95135
Roswell,GA,Georgia,34.0391,-84.3513,94763
Menifee,CA,California,33.6909,-117.1849,94756
Plantation,FL,Florida,26.126,-80.2617,94580
Dover,NH,New Hampshire,43.1887,-70.8845,94563
Quincy,MA,Massachusetts,42.2516,-71.0183,94470
Portsmouth,VA,Virginia,36.8468,-76.354,94398
Chino,CA,California,33.9836,-117.6654,94371
Lynn,MA,Massachusetts,42.4779,-70.9663,94299
Edmond,OK,Oklahoma,35.6689,-97.4159,94054
Hanford,CA,California,36.3274,-119.6549,94028
Dearborn,MI,Michigan,42.3127,-83.2129,93932
Livonia,MI,Michigan,42.3972,-83.3733,93665
South Gate,CA,California,33.9448,-118.1926,93444
Vineland,NJ,New Jersey,39.4653,-74.9981,93239
Florence,SC,South Carolina,34.1781,-79.7877,93131
Portsmouth,NH,New Hampshire,43.058,-70.7826,93069
Slidell,LA,Louisiana,30.2881,-89.7826,93040
Lawton,OK,Oklahoma,34.6176,-98.4203,93025
Kirkland,WA,Washington,47.6974,-122.2054,93010
Missoula,MT,Montana,46.875,-114.0214,92895
Auburn,AL,Alabama,32.6087,-85.4899,92777
Rapid City,SD,South Dakota,44.0716,-103.2204,92664
Terre Haute,IN,Indiana,39.4654,-87.3763,92490
Suffolk,VA,Virginia,36.6953,-76.6398,92108
Blacksburg,VA,Virginia,37.23,-80.4279,91888
Mount Pleasant,SC,South Carolina,32.8538,-79.8204,91684
Carson,CA,California,33.8374,-118.2559,91394
